filename,accesses,hits
623.xalancbmk_s-202B,40624737,1501686
623.xalancbmk_s-325B,65392593,62357993
623.xalancbmk_s-592B,80823709,75833913
623.xalancbmk_s-700B,78502097,73407229
625.x264_s-12B,4636767,3154828
625.x264_s-18B,5485839,3594774
625.x264_s-20B,3990339,2501733
625.x264_s-33B,5022144,3283075
625.x264_s-39B,6513847,4795687
627.cam4_s-490B,52501689,31767604
627.cam4_s-573B,25147400,16293691
628.pop2_s-17B,31658803,22080273
631.deepsjeng_s-928B,2720708,2297154
638.imagick_s-10316B,13372092,13285324
638.imagick_s-4128B,167011,4830
638.imagick_s-824B,628072,316630
641.leela_s-1052B,5270234,4066809
641.leela_s-1083B,4979547,4682118
641.leela_s-149B,5476253,5410293
641.leela_s-334B,5201149,4577942
641.leela_s-602B,4391406,4004473
641.leela_s-800B,4520429,4353732
641.leela_s-862B,3822520,3711707
644.nab_s-12459B,11490338,10359230
644.nab_s-12521B,20200018,18760673
644.nab_s-5853B,7436162,7133633
644.nab_s-7928B,18367757,17404091
644.nab_s-9322B,12950310,11856920
648.exchange2_s-1227B,77921,77576
648.exchange2_s-1247B,55561,55197
648.exchange2_s-1511B,53197,53163
648.exchange2_s-1699B,3333,3326
648.exchange2_s-1712B,33997,33744
648.exchange2_s-210B,20308,20291
648.exchange2_s-353B,49054,48893
648.exchange2_s-387B,397964,397869
648.exchange2_s-584B,33671,33613
648.exchange2_s-72B,68257,68161
649.fotonik3d_s-10881B,35896830,11685235
649.fotonik3d_s-1176B,33035109,18536253
649.fotonik3d_s-1B,164285,82610
649.fotonik3d_s-7084B,37548509,10974062
649.fotonik3d_s-8225B,33038362,18559006
654.roms_s-1007B,28066809,12699514
654.roms_s-1021B,159293,82812
654.roms_s-1070B,53468169,17706541
654.roms_s-1390B,55406608,15988803
654.roms_s-1613B,42365317,9637954
654.roms_s-293B,33540211,9514945
654.roms_s-294B,4985687,2881509
654.roms_s-523B,45462113,12152970
654.roms_s-842B,28134584,6557232
657.xz_s-2302B,17614251,11701724
657.xz_s-3167B,14084734,10627962
657.xz_s-4994B,3184511,1907800
657.xz_s-56B,627619,0
