filename,accesses,hits
458.sjeng-283B,386548829,385556519
458.sjeng-31B,382333776,381340509
458.sjeng-767B,385700828,384676719
459.GemsFDTD-1169B,593463676,570924155
459.GemsFDTD-1211B,637683250,616634359
459.GemsFDTD-1320B,663962551,643718749
459.GemsFDTD-1418B,604757167,580331049
459.GemsFDTD-1491B,638455529,611213422
459.GemsFDTD-765B,640694945,613350006
462.libquantum-1343B,152687411,119574186
462.libquantum-714B,189579602,151077736
464.h264ref-30B,342050833,338084272
464.h264ref-57B,350054624,346060278
464.h264ref-64B,354011075,349996167
464.h264ref-97B,353218991,349126953
465.tonto-1914B,412936583,405062844
465.tonto-44B,458444579,456960687
470.lbm-1274B,232059832,158702977
471.omnetpp-188B,469938626,434078556
473.astar-153B,453620327,445659681
473.astar-359B,558892212,479769852
473.astar-42B,377223660,334371697
481.wrf-1170B,337136240,326247759
481.wrf-1254B,423160072,417466287
481.wrf-1281B,283169125,271158831
481.wrf-196B,362647455,346914970
481.wrf-455B,282376619,269582528
481.wrf-816B,323168474,308959939
482.sphinx3-1100B,169454768,147509837
482.sphinx3-1297B,180875020,156874025
482.sphinx3-1395B,179529360,156223795
482.sphinx3-1522B,166101173,145036006
482.sphinx3-234B,173256564,150707769
482.sphinx3-417B,189741446,163427457
483.xalancbmk-127B,288213362,246563628
483.xalancbmk-716B,268036022,251979139
483.xalancbmk-736B,242315997,222566851
600.perlbench_s-1273B,495599025,494240815
600.perlbench_s-210B,495695950,493266539
600.perlbench_s-570B,493371289,491682484
602.gcc_s-1850B,332946759,296732070
602.gcc_s-2226B,214078503,109848280
602.gcc_s-2375B,420870810,410979585
602.gcc_s-734B,347708523,322744967
603.bwaves_s-1080B,255189018,254697343
603.bwaves_s-1740B,474150111,444132223
603.bwaves_s-2609B,474231774,444207585
603.bwaves_s-2931B,449635350,424297915
603.bwaves_s-3699B,249022757,248747913
603.bwaves_s-5359B,249733301,249539892
603.bwaves_s-891B,441881200,411107945
605.mcf_s-1152B,487638727,388176179
605.mcf_s-1536B,508668629,281471334
605.mcf_s-1554B,588199615,344047113
605.mcf_s-1644B,542202165,499546996
605.mcf_s-472B,702204481,635479446
605.mcf_s-484B,631140598,565434930
605.mcf_s-665B,533476468,467615672
605.mcf_s-782B,312944560,68897324
605.mcf_s-994B,571885996,513590858
607.cactuBSSN_s-2421B,419947610,247288412
607.cactuBSSN_s-3477B,562748575,453563815
607.cactuBSSN_s-4004B,562431484,452863101
607.cactuBSSN_s-4248B,237655082,236236632
619.lbm_s-2676B,349891306,239363471
619.lbm_s-2677B,342917572,243167029
619.lbm_s-3766B,354998697,238167586
619.lbm_s-4268B,339389849,245957437
620.omnetpp_s-141B,540208459,512076131
620.omnetpp_s-874B,529435079,501671047
621.wrf_s-575B,349097057,325326138
621.wrf_s-6673B,315341745,308826816
621.wrf_s-8065B,315742450,305055907
621.wrf_s-8100B,319083100,303218095
623.xalancbmk_s-10B,297927837,257474806
623.xalancbmk_s-165B,263474061,225624926
623.xalancbmk_s-202B,262423348,221800786
623.xalancbmk_s-325B,299327095,241136973
623.xalancbmk_s-592B,257198914,182761967
623.xalancbmk_s-700B,319953484,247592868
625.x264_s-12B,212596263,210337889
625.x264_s-18B,221477247,218719256
625.x264_s-20B,218579595,216393303
625.x264_s-33B,223088073,220564909
625.x264_s-39B,224529941,221893551
627.cam4_s-490B,246040295,209616035
627.cam4_s-573B,283017204,268717602
628.pop2_s-17B,243137959,221758043
631.deepsjeng_s-928B,404564293,403301201
638.imagick_s-10316B,52427035,39076386
638.imagick_s-4128B,275206470,275043872
638.imagick_s-824B,243996399,243681341
641.leela_s-1052B,409563283,405561896
641.leela_s-1083B,405257980,401336244
641.leela_s-149B,386857886,382881111
641.leela_s-334B,406453784,403053779
641.leela_s-602B,396215094,393214341
641.leela_s-800B,405193708,401429918
641.leela_s-862B,406188801,403038903
644.nab_s-12459B,351378916,340566154
644.nab_s-12521B,395732085,380592105
644.nab_s-5853B,481905426,476356638
644.nab_s-7928B,405584082,391715072
644.nab_s-9322B,430174644,417232685
648.exchange2_s-1227B,408355902,408355788
648.exchange2_s-1247B,415892475,415892356
648.exchange2_s-1511B,415397292,415397292
648.exchange2_s-1699B,446031314,446031313
648.exchange2_s-1712B,433550881,433550815
648.exchange2_s-210B,448446708,448446702
648.exchange2_s-353B,415660252,415660236
648.exchange2_s-387B,390273737,390273737
648.exchange2_s-584B,422072394,422072373
648.exchange2_s-72B,426187227,426187201
649.fotonik3d_s-10881B,566224751,540551132
649.fotonik3d_s-1176B,308202761,288345133
649.fotonik3d_s-1B,393309824,393227520
649.fotonik3d_s-7084B,512435753,485326030
649.fotonik3d_s-8225B,308262901,288405286
654.roms_s-1007B,536110142,513358789
654.roms_s-1021B,287864656,287730743
654.roms_s-1070B,270665610,225908275
654.roms_s-1390B,320323029,276677114
654.roms_s-1613B,222143291,189412543
654.roms_s-293B,333131180,307274828
654.roms_s-294B,387330583,383385837
654.roms_s-523B,269023440,234541744
654.roms_s-842B,258023712,236442585
657.xz_s-2302B,306194130,295578568
657.xz_s-3167B,293790127,285608131
657.xz_s-4994B,236502089,234473345
657.xz_s-56B,111136878,110509259
